Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1200508;AISI 316;"1 1/2""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1 1/2""";;;;0,52;;;;;;;;1
1200509;AISI 316;"2""";KULMAYHDE S/U;0;Kulmayhde s/u;;"2""";;;;0,95;;;;;;;;1
1200801;AISI 316;"1/8""";T-YHDE;0;T-yhde;;"1/8""";;;;0,04;;;;;;;;1
1200802;AISI 316;"1/4""";T-YHDE;0;T-yhde;;"1/4""";;;;0,05;;;;;;;;1
1200803;AISI 316;"3/8""";T-YHDE;0;T-yhde;;"3/8""";;;;0,08;;;;;;;;1
1200804;AISI 316;"1/2""";T-YHDE;0;T-yhde;;"1/2""";;;;0,15;;;;;;;;1
1200805;AISI 316;"3/4""";T-YHDE;0;T-yhde;;"3/4""";;;;0,26;;;;;;;;1
1200806;AISI 316;"1""";T-YHDE;0;T-yhde;;"1""";;;;0,37;;;;;;;;1
1200806N;AISI 316;"1"" NPT";T-YHDE;0;T-yhde;T-Yhde NPT;"1""";;;;0,37;;NPT;;;;;;1
1200807;AISI 316;"1.1/4""";T-YHDE;0;T-yhde;;"1 1/4""";;;;0,61;;;;;;;;1
1200807N;AISI 316;"1.1/4"" NPT";T-YHDE;0;T-yhde;T-Yhde NPT;"1 1/4""";;;;0,61;;NPT;;;;;;1
1200808;AISI 316;"1.1/2""";T-YHDE;0;T-yhde;;"1 1/2""";;;;0,91;;;;;;;;1
1200808N;AISI 316;"1.1/2"" NPT";T-YHDE;0;T-yhde;T-Yhde NPT;"1 1/2""";;;;0,91;;NPT;;;;;;1
1200809;AISI 316;"2""";T-YHDE;0;T-yhde;;"2""";;;;1,18;;;;;;;;1
1200810;AISI 316;"2.1/2""";T-YHDE;0;T-yhde;;"2 1/2""";;;;1,88;;;;;;;;1
1200811;AISI 316;"3""";T-YHDE;0;T-yhde;;"3""";;;;3,37;;;;;;;;1
1200812;AISI 316;"4""";T-YHDE;0;T-yhde;;"4""";;;;3,9;;;;;;;;1
1200898;AISI 316;"1/2""";T-YHDE HITSATTAVA;0;T-yhde;;"1/2""";;;;0,04;;;;;;;;1
